 ,Label,Area,Perim.,Circ.,AR,Round,Solidity
1,444 binary.png,215.032,62.135,0.700,1.064,0.940,0.990
2,444 binary.png,198.646,63.576,0.618,1.018,0.982,0.984
3,444 binary.png,197.545,62.648,0.633,1.019,0.981,0.986
4,444 binary.png,211.049,61.922,0.692,1.064,0.940,0.989
5,444 binary.png,208.363,63.505,0.649,1.077,0.928,0.985
6,444 binary.png,194.174,59.460,0.690,1.057,0.946,0.988
7,444 binary.png,193.233,60.825,0.656,1.052,0.950,0.988
8,444 binary.png,205.335,62.556,0.659,1.072,0.933,0.986
9,444 binary.png,206.900,65.865,0.599,1.079,0.926,0.981
10,444 binary.png,196.222,58.462,0.721,1.046,0.956,0.988
11,444 binary.png,196.290,61.035,0.662,1.049,0.953,0.987
12,444 binary.png,205.444,62.538,0.660,1.075,0.930,0.984
13,444 binary.png,214.448,67.285,0.595,1.042,0.960,0.977
14,444 binary.png,204.052,64.111,0.624,1.021,0.979,0.981
15,444 binary.png,201.039,62.540,0.646,1.014,0.986,0.982
16,444 binary.png,207.160,63.051,0.655,1.060,0.943,0.983
