 ,Label,Area,Circ.,AR,Round,Solidity
1,sand binary.tif,42.542,0.471,1.866,0.536,0.959
2,sand binary.tif,60.087,0.744,1.046,0.956,0.984
3,sand binary.tif,57.226,0.581,1.588,0.630,0.969
4,sand binary.tif,40.742,0.750,1.339,0.747,0.984
5,sand binary.tif,26.972,0.724,1.194,0.838,0.985
6,sand binary.tif,27.538,0.564,1.198,0.835,0.990
7,sand binary.tif,73.430,0.735,1.301,0.768,0.977
8,sand binary.tif,47.978,0.507,1.313,0.762,0.961
9,sand binary.tif,36.184,0.707,1.148,0.871,0.963
10,sand binary.tif,35.120,0.815,1.057,0.946,0.995
11,sand binary.tif,37.293,0.385,1.180,0.847,0.987
12,sand binary.tif,30.209,0.643,1.584,0.631,0.958
13,sand binary.tif,82.569,0.692,1.438,0.695,0.976
14,sand binary.tif,61.504,0.581,1.575,0.635,0.957
15,sand binary.tif,46.167,0.627,1.181,0.847,0.961
16,sand binary.tif,36.823,0.811,1.368,0.731,0.993
17,sand binary.tif,27.002,0.671,1.542,0.648,0.966
18,sand binary.tif,21.699,0.578,1.466,0.682,0.982
19,sand binary.tif,91.914,0.697,1.136,0.880,0.973
20,sand binary.tif,80.093,0.572,1.571,0.636,0.934
21,sand binary.tif,55.369,0.759,1.068,0.936,0.989
22,sand binary.tif,32.194,0.661,1.113,0.898,0.910
23,sand binary.tif,21.009,0.566,1.615,0.619,0.975
24,sand binary.tif,22.129,0.683,1.363,0.734,0.972
25,sand binary.tif,94.704,0.697,1.122,0.891,0.948
26,sand binary.tif,53.560,0.397,1.208,0.828,0.988
27,sand binary.tif,36.040,0.765,1.266,0.790,0.989
28,sand binary.tif,31.445,0.645,1.088,0.919,0.921
29,sand binary.tif,30.656,0.571,1.129,0.886,0.930
30,sand binary.tif,19.251,0.818,1.093,0.915,0.993
31,sand binary.tif,103.334,0.777,1.067,0.937,0.990
32,sand binary.tif,71.507,0.485,1.302,0.768,0.922
33,sand binary.tif,44.044,0.508,1.795,0.557,0.958
34,sand binary.tif,36.534,0.483,1.163,0.860,0.983
35,sand binary.tif,25.536,0.499,1.611,0.621,0.983
36,sand binary.tif,29.549,0.522,1.547,0.646,0.971
